Live Base Allegiance Positions: Global Coordinates
name,label,region,iconType,team,global_x,global_y
Fleecewatch,Fleecewatch,GodcroftsHex,45,WARDENS,8861.692445,1917.721532
Fort Barley,Fort Barley,TheFingersHex,45,COLONIALS,9682.250183,3442.926445
Fort Blather,Fort Blather,SpeakingWoodsHex,45,WARDENS,5349.620318,1135.816891
Fort Duncan,Fort Duncan,LinnMercyHex,45,COLONIALS,5347.996266,2880.403186
Fort Ealar,Fort Ealar,ClansheadValleyHex,45,WARDENS,7306.517424,1509.030624
Fort Ember,Fort Ember,FishermansRowHex,45,WARDENS,2915.824436,2965.171504
Fort Esterwild,Fort Esterwild,ClansheadValleyHex,45,WARDENS,7625.869976,1400.779340
Fort Fogwood,Fort Fogwood,OarbreakerHex,45,WARDENS,2319.012440,3503.613828
Fort Guile,Fort Guile,LykosIsleHex,45,COLONIALS,9815.211643,2389.286375
Fort Hoarfrost,Fort Hoarfrost,StlicanShelfHex,45,WARDENS,8294.447337,2723.789789
Fort Mac Conaill,Fort Mac Conaill,ReachingTrailHex,45,WARDENS,6080.568057,1618.139750
Fort Matchwood,Fort Matchwood,RedRiverHex,45,COLONIALS,5162.704204,5238.091183
Fort Providence,Fort Providence,HeartlandsHex,45,COLONIALS,5357.113660,4340.130954
Fort Red,Fort Red,HowlCountyHex,45,WARDENS,7004.272562,818.194885
Fort Rictus,Fort Rictus,ReaversPassHex,45,COLONIALS,8022.758691,4184.734353
Fort Rider,Fort Rider,HowlCountyHex,45,WARDENS,6509.343957,1178.691246
Fort Viper,Fort Viper,ViperPitHex,45,WARDENS,6510.133326,1857.080176
Fort Windham,Fort Windham,ClansheadValleyHex,45,WARDENS,7336.452788,1040.353090
Foxcatcher,Foxcatcher,WeatheredExpanseHex,58,WARDENS,7443.221635,2447.057807
Frostmarch,Frostmarch,WeatheredExpanseHex,45,WARDENS,7102.560891,2196.484109
Garion Slip,Garion Slip,WrestaHex,45,COLONIALS,8933.933749,4049.296918
Garland,Garland,OnyxHex,58,COLONIALS,8993.453204,4583.131899
Gibbet Fields,Gibbet Fields,KingsCageHex,58,COLONIALS,4516.309454,3261.401511
Gold,Gold,OarbreakerHex,45,WARDENS,1768.099195,3497.420765
Goldenroot Ranch,Goldenroot Ranch,UmbralWildwoodHex,45,COLONIALS,5564.030115,4038.502998
Gorgon Grove,Gorgon Grove,ShackledChasmHex,45,COLONIALS,6394.360625,4321.289135
Gravekeeper's Holdfast,Gravekeeper's Holdfast,MooringCountyHex,45,WARDENS,5041.816027,1924.623937
Great Warden Dam,Great Warden Dam,HowlCountyHex,58,WARDENS,6802.338656,769.919829
Greenfield Orchard,Greenfield Orchard,HeartlandsHex,58,COLONIALS,5338.608157,4198.120382
Grief Mother,Grief Mother,NevishLineHex,45,WARDENS,3769.703045,1901.746402
Grisly Refuge,Grisly Refuge,OarbreakerHex,45,WARDENS,1915.728407,3282.102967
Hallow,Hallow,KalokaiHex,58,COLONIALS,5871.392825,5731.800380
Hangman's Court,Hangman's Court,FishermansRowHex,45,WARDENS,3032.289604,3059.957556
Hardline,Hardline,LinnMercyHex,45,COLONIALS,4986.969872,2737.186929
Harpy,Harpy,ReachingTrailHex,45,WARDENS,5833.472899,1673.131778
Headsman's Villa,Headsman's Villa,TheFingersHex,58,COLONIALS,9435.756779,3506.397211
Headstone,Headstone,MooringCountyHex,58,WARDENS,5097.595218,1772.945043
Heir Apparent,Heir Apparent,AcrithiaHex,45,COLONIALS,6616.962353,4996.245052
Hermit's Rest,Hermit's Rest,UmbralWildwoodHex,58,COLONIALS,6050.871972,4091.696244
Holdfast,Holdfast,WestgateHex,45,WARDENS,3551.948272,3371.015910
Holdout,Holdout,CallumsCapeHex,58,WARDENS,4548.519301,1388.847892
Homesick,Homesick,AllodsBightHex,45,COLONIALS,7287.262533,3904.387821
House of Lyterius,House of Lyterius,PipersEnclaveHex,58,COLONIALS,10339.539891,3815.000715
Hungry Wolf,Hungry Wolf,HowlCountyHex,58,WARDENS,6350.003617,855.186638
Huntsfort,Huntsfort,WeatheredExpanseHex,45,WARDENS,7409.746546,2251.120825
Hush,Hush,SpeakingWoodsHex,45,WARDENS,5080.792298,661.742054
Huskhollow,Huskhollow,FarranacCoastHex,58,WARDENS,3664.988168,2718.962455
Ice Ranch,Ice Ranch,ReachingTrailHex,58,WARDENS,6079.539966,1239.898282
Ilmari Bridge,Ilmari Bridge,OlavisWakeHex,45,WARDENS,1428.126630,2141.737707
Iltaku,Iltaku,OlavisWakeHex,57,WARDENS,1529.997791,2285.135404
Inari Base,Inari Base,SpeakingWoodsHex,45,WARDENS,5346.330763,606.406502
Initium,Initium,OriginHex,58,COLONIALS,3691.853652,4305.994501
Integrum,Integrum,OarbreakerHex,58,WARDENS,1917.962013,3804.871913
Ire,Ire,CallumsCapeHex,45,WARDENS,4332.780287,1619.167976
Iron Junction,Iron Junction,EndlessShoreHex,58,COLONIALS,8058.612400,3803.290483
Iron's End,Iron's End,DeadLandsHex,45,COLONIALS,5853.146497,2917.350816
Isawa,Isawa,GodcroftsHex,58,WARDENS,9005.419090,1981.799577
Isle of Psyche,Isle of Psyche,TempestIslandHex,45,WARDENS,8607.024471,3123.722175
Itään,Itään,PariPeakHex,45,WARDENS,1960.590596,1971.994398
Judicium,Judicium,RedRiverHex,58,COLONIALS,5313.227768,5246.321156
Keelhaul,Keelhaul,ReaversPassHex,58,COLONIALS,8125.288885,4628.079281
Kingstone,Kingstone,WestgateHex,58,COLONIALS,3699.298562,3485.169200
Kirknell,Kirknell,ViperPitHex,58,WARDENS,6449.303409,1818.697924
Kohina Base,Kohina Base,PariPeakHex,45,WARDENS,2289.155673,1683.488512
Koskinla,Koskinla,OlavisWakeHex,58,WARDENS,1088.598219,2082.550916
Kulkue,Kulkue,OlavisWakeHex,57,WARDENS,1425.958753,2438.662612
Kuoppa,Kuoppa,GutterHex,58,WARDENS,2644.495278,2195.880481
Lachesis' Tally,Lachesis' Tally,UmbralWildwoodHex,45,COLONIALS,6207.390179,4034.834635
Lamplight,Lamplight,BasinSionnachHex,45,WARDENS,6089.905408,510.584960
Lathair,Lathair,LinnMercyHex,45,COLONIALS,5333.373678,2512.933835
Latro Manor,Latro Manor,WrestaHex,58,COLONIALS,9139.156955,3803.099895
Legion Ranch,Legion Ranch,AcrithiaHex,58,COLONIALS,6896.678321,5299.329001
Leiri Hermanni,Leiri Hermanni,PalantineBermHex,45,WARDENS,2071.037116,2806.975459
Leto,Leto,GreatMarchHex,58,COLONIALS,5623.948533,4886.794779
Liar's Haven,Liar's Haven,TempestIslandHex,58,WARDENS,9131.459446,3225.177349
Liberation Point,Liberation Point,DeadLandsHex,58,COLONIALS,5628.935885,3132.421957
Light's End,Light's End,SableportHex,58,COLONIALS,4200.613283,4153.231444
Limestone Holdfast,Limestone Holdfast,ReachingTrailHex,45,WARDENS,5692.974687,1051.280608
Limewood Holdfast,Limewood Holdfast,ShackledChasmHex,45,COLONIALS,6626.053425,4421.273537
Lionsfort,Lionsfort,GreatMarchHex,45,COLONIALS,6073.764233,4573.504655
Lipsia,Lipsia,GodcroftsHex,45,COLONIALS,9175.639427,2421.882793
Little Lamb,Little Lamb,HowlCountyHex,58,WARDENS,6737.953555,1149.749001
Little Raakkua,Little Raakkua,PariPeakHex,58,WARDENS,2119.814476,1696.187011
Lividus,Lividus,MorgensCrossingHex,58,WARDENS,8299.419881,1808.097974
Lochan Berth,Lochan Berth,CallahansPassageHex,56,WARDENS,5960.867382,2158.209361
Lockheed,Lockheed,MarbanHollow,58,COLONIALS,6787.824501,2990.581884
Loggerhead,Loggerhead,DrownedValeHex,58,COLONIALS,6580.893897,3313.676927
Longstone,Longstone,WestgateHex,58,COLONIALS,3720.526139,3735.722572
Lookout,Lookout,CallumsCapeHex,45,WARDENS,4589.203591,1558.069171
Lord's Mouth,Lord's Mouth,WestgateHex,58,COLONIALS,3895.441897,3497.144935
Lost Greensward,Lost Greensward,KalokaiHex,45,COLONIALS,5943.883903,6098.545227
Lost Kaivo,Lost Kaivo,GutterHex,45,WARDENS,2831.600524,2316.223134
Lost Partition,Lost Partition,WestgateHex,45,COLONIALS,3883.138973,3615.300838
Luch's Workshop,Luch's Workshop,MooringCountyHex,58,WARDENS,5326.903472,1534.352864
Lugria,Lugria,TyrantFoothillsHex,58,COLONIALS,9710.056956,4290.789364
Lumia,Lumia,KuuraStrandHex,45,WARDENS,2716.280851,1382.998728
MacConmara Barrows,MacConmara Barrows,MooringCountyHex,58,WARDENS,5197.537009,2026.782293
Macha's Keening,Macha's Keening,FarranacCoastHex,57,WARDENS,3775.534850,2892.283353
Maenalius Cove,Maenalius Cove,PipersEnclaveHex,45,COLONIALS,10264.907333,4084.938955
Maiden's Veil,Maiden's Veil,MarbanHollow,58,COLONIALS,6677.378094,2700.366566
Mara,Mara,FarranacCoastHex,58,WARDENS,3918.185791,2653.701239
Market Road,Market Road,LochMorHex,45,COLONIALS,4825.306674,3566.402645
Martti,Martti,KuuraStrandHex,58,WARDENS,2691.914442,1593.594456
Menneen,Menneen,KuuraStrandHex,45,WARDENS,2594.998894,1345.856834
Mercy's Wail,Mercy's Wail,AllodsBightHex,58,COLONIALS,7416.071963,4077.100763
Mercy's Wish,Mercy's Wish,LochMorHex,58,COLONIALS,5075.674882,3249.649272
Minos,Minos,RedRiverHex,58,COLONIALS,4994.915611,5305.660719
Mistle Shrine,Mistle Shrine,NevishLineHex,58,WARDENS,3864.531329,1722.730695
Moltworth,Moltworth,ViperPitHex,58,WARDENS,6773.350007,1949.084250
Moon's Copse,Moon's Copse,LochMorHex,45,COLONIALS,5367.039189,3567.449122
Morrighan's Grave,Morrighan's Grave,MooringCountyHex,58,WARDENS,5333.832094,1863.356226
Mousetrap,Mousetrap,ReachingTrailHex,58,WARDENS,6207.570022,1370.594620
Mox,Mox,MarbanHollow,45,WARDENS,6873.515250,2383.668885
Myrmidon's Stay,Myrmidon's Stay,GreatMarchHex,58,COLONIALS,5987.936317,4662.620571
Mārudia,Mārudia,LykosIsleHex,45,COLONIALS,9510.199799,2922.654438
Naofa,Naofa,CallumsCapeHex,45,WARDENS,4019.696127,1334.463543
Necropolis,Necropolis,WeatheredExpanseHex,45,WARDENS,7281.546246,2376.611853
Nereid Keep,Nereid Keep,AcrithiaHex,45,COLONIALS,6855.717474,5436.711887
Night's Regret,Night's Regret,KalokaiHex,45,COLONIALS,5619.697001,5750.819552
Nightchurch,Nightchurch,ReachingTrailHex,58,WARDENS,5770.056407,1532.154873
Northern Sky Hold,Northern Sky Hold,TyrantFoothillsHex,45,COLONIALS,9859.477344,4222.207745
Oceanwatch,Oceanwatch,FishermansRowHex,45,WARDENS,2789.601383,2802.603670
Ogmaran,Ogmaran,MooringCountyHex,58,WARDENS,5056.140410,1507.507044
Oleander Homestead,Oleander Homestead,HeartlandsHex,58,COLONIALS,5427.003674,4434.349496
Onioncap,Onioncap,TyrantFoothillsHex,45,COLONIALS,10031.408075,4463.353741
Oster Wall,Oster Wall,MarbanHollow,45,WARDENS,6939.385436,2641.325455
Outwich Ranch,Outwich Ranch,LinnMercyHex,58,COLONIALS,5437.559869,2654.279116
Overlook Hill,Overlook Hill,CallahansPassageHex,56,COLONIALS,5913.349960,2305.794443
Pan's Villa,Pan's Villa,PipersEnclaveHex,58,COLONIALS,10689.307816,4021.323391
Pariah,Pariah,PariPeakHex,58,WARDENS,2227.120808,1944.846711
Partisan Island,Partisan Island,OarbreakerHex,45,WARDENS,2271.329862,3684.512007
Patridia,Patridia,AcrithiaHex,58,COLONIALS,6556.141253,5418.341071
Penance,Penance,RedRiverHex,58,COLONIALS,5122.652577,5053.515198
Peripti Landing,Peripti Landing,FishermansRowHex,45,WARDENS,2622.456541,3071.105702
Plana Fada,Plana Fada,TempestIslandHex,58,WARDENS,8805.548716,3380.581277
Plankhouse,Plankhouse,TheFingersHex,45,COLONIALS,9578.319692,3650.337802
Pleading Wharf,Pleading Wharf,FarranacCoastHex,45,WARDENS,3704.593730,2841.340906
Port of Rime,Port of Rime,StlicanShelfHex,58,WARDENS,8353.802476,2512.272293
Posterus,Posterus,OarbreakerHex,45,WARDENS,2113.935897,3790.793487
Princefal,Princefal,NevishLineHex,45,WARDENS,3639.601430,1792.239653
Proexí,Proexí,HeartlandsHex,58,COLONIALS,5262.155501,4713.295586
Protos,Protos,GodcroftsHex,45,WARDENS,8767.007319,2158.568734
Quietus,Quietus,MorgensCrossingHex,58,WARDENS,7998.042167,1663.069985
Rancher's Fast,Rancher's Fast,WestgateHex,45,WARDENS,3760.183035,3291.273000
Ratchet,Ratchet,WrestaHex,45,COLONIALS,9246.258695,4005.176585
Reaching River,Reaching River,MooringCountyHex,45,WARDENS,4862.493360,1589.116462
Reedhurst,Reedhurst,PipersEnclaveHex,45,COLONIALS,10477.499179,3955.119648
Reef,Reef,TempestIslandHex,45,WARDENS,9154.097119,2948.940707
Reflection,Reflection,ShackledChasmHex,58,COLONIALS,6402.714368,4527.059342
Remnant Villa,Remnant Villa,GreatMarchHex,58,COLONIALS,5938.205516,4834.887306
Reprieve,Reprieve,ReachingTrailHex,58,WARDENS,5928.582922,1477.771848
Rikki Sarana,Rikki Sarana,GutterHex,45,WARDENS,2587.181919,2039.170177
Rotdust,Rotdust,LinnMercyHex,57,WARDENS,5200.457212,2381.636893
Rotko Camp,Rotko Camp,GutterHex,45,WARDENS,2692.887723,1936.087193
Rumhold,Rumhold,AllodsBightHex,45,COLONIALS,7196.557799,3788.491474
Saegio,Saegio,GodcroftsHex,45,WARDENS,9017.157689,2198.200591
Salaoja Road,Salaoja Road,GutterHex,45,WARDENS,2526.613156,2250.870059
Saltbrook Channel,Saltbrook Channel,EndlessShoreHex,57,WARDENS,8007.827194,3457.110227
Sanctum,Sanctum,MarbanHollow,45,COLONIALS,6397.361357,2475.082902
Savages,Savages,ShackledChasmHex,58,COLONIALS,6570.476329,4184.697549
Scallyhold,Scallyhold,WrestaHex,58,COLONIALS,8817.274249,4211.156358
Scarlethold,Scarlethold,KingsCageHex,45,COLONIALS,4241.354701,3343.004671
Scarp of Ambrose,Scarp of Ambrose,FarranacCoastHex,45,WARDENS,3561.518175,2567.195632
Scouts Jest,Scouts Jest,CallumsCapeHex,45,WARDENS,4102.528897,1535.074982
Scrapegrace,Scrapegrace,TyrantFoothillsHex,45,COLONIALS,9827.913990,4713.017575
Scurvyshire,Scurvyshire,AllodsBightHex,58,COLONIALS,7304.422379,3759.427517
Scuttletown,Scuttletown,ReaversPassHex,58,COLONIALS,7983.997121,4405.799195
Scythe,Scythe,FarranacCoastHex,45,WARDENS,3849.592984,2529.302086
Scáth Passing,Scáth Passing,CallahansPassageHex,45,COLONIALS,5698.466410,2268.529099
Second Man,Second Man,TheFingersHex,45,COLONIALS,9567.038406,3833.445906
Sentry,Sentry,UmbralWildwoodHex,58,COLONIALS,5789.951856,4261.795567
Serenity's Blight,Serenity's Blight,ViperPitHex,58,WARDENS,6602.441245,1656.366543
Sess,Sess,BasinSionnachHex,58,WARDENS,5629.829825,371.406160
Shattered Advance,Shattered Advance,WeatheredExpanseHex,45,WARDENS,7317.221487,2062.680006
Sickleshire,Sickleshire,HowlCountyHex,45,WARDENS,6838.893904,1011.564301
Silk Farms,Silk Farms,ShackledChasmHex,58,COLONIALS,6598.303045,4582.124325
Silver,Silver,OarbreakerHex,45,WARDENS,2038.598079,3590.046154
Simo's Run,Simo's Run,ShackledChasmHex,45,COLONIALS,6854.027138,4735.750386
Singing Serpents,Singing Serpents,DrownedValeHex,45,COLONIALS,6813.198672,3390.778336
Sitaria,Sitaria,GreatMarchHex,58,COLONIALS,5922.083512,4990.495499
Slipchain,Slipchain,KingsCageHex,45,WARDENS,4074.850841,3060.488033
Slipgate Outpost,Slipgate Outpost,HowlCountyHex,45,WARDENS,6565.295878,793.272892
Solas Gorge,Solas Gorge,CallahansPassageHex,58,WARDENS,5602.665089,2037.915710
Sootflow,Sootflow,AshFieldsHex,45,COLONIALS,4559.050531,5069.004758
Sotto Bank,Sotto Bank,SpeakingWoodsHex,58,WARDENS,5177.842205,923.964082
Sourtooth,Sourtooth,KalokaiHex,45,COLONIALS,6023.661253,5446.296609
Southblade,Southblade,KingsCageHex,45,COLONIALS,4432.892670,3373.374342
Spirit Watch,Spirit Watch,WeatheredExpanseHex,45,WARDENS,7567.538983,2401.791655
Splinter Pens,Splinter Pens,DrownedValeHex,45,COLONIALS,6629.169712,3798.946747
Stem,Stem,SpeakingWoodsHex,45,WARDENS,5019.805129,1061.639701
Stoic,Stoic,BasinSionnachHex,45,WARDENS,6228.728480,389.920156
Stray,Stray,UmbralWildwoodHex,58,COLONIALS,6055.045386,3738.423075
Sun's Hollow,Sun's Hollow,DeadLandsHex,45,COLONIALS,5663.186400,3303.509720
Suojus,Suojus,GutterHex,45,WARDENS,2910.679370,1975.557521
Suosalo,Suosalo,KuuraStrandHex,58,WARDENS,2793.146533,1225.489657
Surge Gate,Surge Gate,TempestIslandHex,58,WARDENS,8867.758432,3057.719870
Sweethearth,Sweethearth,KalokaiHex,58,COLONIALS,6033.642224,5539.226226
Sweetholt,Sweetholt,ClansheadValleyHex,45,WARDENS,7688.335363,1206.791011
Swordfort,Swordfort,AcrithiaHex,45,COLONIALS,6439.984259,5159.228180
Syrinx Pass,Syrinx Pass,PipersEnclaveHex,58,COLONIALS,10405.833288,4223.410538
Sídhe Fall,Sídhe Fall,EndlessShoreHex,45,WARDENS,8194.639237,3385.166229
Talonsfort,Talonsfort,SableportHex,45,COLONIALS,4220.110157,3700.446755
Talven,Talven,KuuraStrandHex,45,WARDENS,3045.157003,1237.284231
Teichotima,Teichotima,OriginHex,58,COLONIALS,3415.297749,4668.982042
Teller Farm,Teller Farm,HowlCountyHex,58,WARDENS,6562.418672,1006.385314
Terra,Terra,FarranacCoastHex,45,WARDENS,3689.795301,2586.150779
Tethys Base,Tethys Base,TheFingersHex,45,COLONIALS,9812.582580,3581.919199
The Ark,The Ark,ReachingTrailHex,45,WARDENS,6116.030181,1381.098397
The Ashfort,The Ashfort,AshFieldsHex,45,COLONIALS,4593.990300,4822.403798
The Axehead,The Axehead,GodcroftsHex,58,WARDENS,8737.921663,2300.525541
The Bailie,The Bailie,KingsCageHex,57,WARDENS,4315.500335,2855.364695
The Baths,The Baths,DrownedValeHex,58,COLONIALS,6697.031305,3575.046719
The Bell Toll,The Bell Toll,ShackledChasmHex,45,COLONIALS,6772.360540,4344.817592
The Bilge,The Bilge,ReaversPassHex,45,COLONIALS,8208.077160,4141.923247
The Blemish,The Blemish,HeartlandsHex,58,COLONIALS,5215.242027,4407.768845
The Bone Haft,The Bone Haft,FarranacCoastHex,58,WARDENS,3584.944906,2439.593849
The Breach,The Breach,HeartlandsHex,58,COLONIALS,4987.813985,4256.346003
The Brinehold,The Brinehold,AcrithiaHex,45,COLONIALS,6652.117783,5330.377435
The Brink,The Brink,OnyxHex,58,COLONIALS,8998.118846,4929.638899
The Calamity,The Calamity,AshFieldsHex,45,COLONIALS,4135.317144,4841.525106
The Conclave,The Conclave,OarbreakerHex,58,WARDENS,2138.292339,3311.687777
The Cord,The Cord,StonecradleHex,45,WARDENS,4402.214908,2383.110827
The Crimson Gardens,The Crimson Gardens,LinnMercyHex,58,COLONIALS,4867.169987,2770.003583
